code,uic,name,slug,latitude,longitude,province,municipality,type,active
HT,8400319,'s-Hertogenbosch,s-hertogenbosch,51.690480,5.293620,Noord-Brabant,'s-Hertogenbosch,knooppuntIntercitystation,1
HTO,8400320,'s-Hertogenbosch Oost,s-hertogenbosch-oost,51.700554,5.318333,Noord-Brabant,'s-Hertogenbosch,stoptreinstation,1
HDE,8400388,'t Harde,t-harde,52.409168,5.893611,Gelderland,Elburg,stoptreinstation,1
ATN,8400045,Aalten,aalten,51.921327,6.578627,Gelderland,Aalten,stoptreinstation,1
AC,8400047,Abcoude,abcoude,52.278500,4.977000,Utrecht,De Ronde Venen,stoptreinstation,1
AKM,8400049,Akkrum,akkrum,53.046391,5.843611,Fryslân,Heerenveen,stoptreinstation,1
AMR,8400050,Alkmaar,alkmaar,52.637779,4.739722,Noord-Holland,Alkmaar,knooppuntIntercitystation,1
AMRN,8400052,Alkmaar Noord,alkmaar-noord,52.643890,4.764167,Noord-Holland,Alkmaar,stoptreinstation,1
AML,8400051,Almelo,almelo,52.358055,6.653889,Overijssel,Almelo,knooppuntIntercitystation,1
AMRI,8400520,Almelo de Riet,almelo-de-riet,52.341946,6.666667,Overijssel,Almelo,stoptreinstation,1
ALMB,8400081,Almere Buiten,almere-buiten,52.394165,5.278056,Flevoland,Almere,stoptreinstation,1
ALM,8400080,Almere Centrum,almere-centrum,52.375030,5.217640,Flevoland,Almere,knooppuntIntercitystation,1
ALMM,8400082,Almere Muziekwijk,almere-muziekwijk,52.367500,5.190278,Flevoland,Almere,stoptreinstation,1
ALMO,8400226,Almere Oostvaarders,almere-oostvaarders,52.403332,5.300556,Flevoland,Almere,stoptreinstation,1
ALMP,8400104,Almere Parkwijk,almere-parkwijk,52.376667,5.244722,Flevoland,Almere,stoptreinstation,1
AMPO,8400450,Almere Poort,almere-poort,52.342778,5.151944,Flevoland,Almere,stoptreinstation,1
APN,8400053,Alphen a/d Rijn,alphen-a-d-rijn,52.124443,4.657778,Zuid-Holland,Alphen aan den Rijn,knooppuntIntercitystation,1
AMF,8400055,Amersfoort Centraal,amersfoort-centraal,52.153889,5.370555,Utrecht,Amersfoort,knooppuntIntercitystation,1
AMFS,8400054,Amersfoort Schothorst,amersfoort-schothorst,52.174822,5.403889,Utrecht,Amersfoort,stoptreinstation,1
AVAT,8400228,Amersfoort Vathorst,amersfoort-vathorst,52.192780,5.433889,Utrecht,Amersfoort,stoptreinstation,1
ASA,8400057,Amsterdam Amstel,amsterdam-amstel,52.346668,4.917778,Noord-Holland,Amsterdam,intercitystation,1
ASB,8400074,Amsterdam Bijlmer ArenA,amsterdam-bijlmer-arena,52.312222,4.946944,Noord-Holland,Amsterdam,knooppuntStoptreinstation,1
ASD,8400058,Amsterdam Centraal,amsterdam-centraal,52.378887,4.900278,Noord-Holland,Amsterdam,megastation,1
ASHD,8400231,Amsterdam Holendrecht,amsterdam-holendrecht,52.298440,4.959720,Noord-Holland,Amsterdam,stoptreinstation,1
ASDL,8400079,Amsterdam Lelylaan,amsterdam-lelylaan,52.357777,4.833889,Noord-Holland,Amsterdam,stoptreinstation,1
ASDM,8400060,Amsterdam Muiderpoort,amsterdam-muiderpoort,52.360554,4.931111,Noord-Holland,Amsterdam,stoptreinstation,1
RAI,8400056,Amsterdam RAI,amsterdam-rai,52.337223,4.890278,Noord-Holland,Amsterdam,stoptreinstation,1
ASSP,8400235,Amsterdam Science Park,amsterdam-science-park,52.355260,4.946510,Noord-Holland,Amsterdam,stoptreinstation,1
ASS,8400059,Amsterdam Sloterdijk,amsterdam-sloterdijk,52.388889,4.837778,Noord-Holland,Amsterdam,knooppuntIntercitystation,1
ASDZ,8400061,Amsterdam Zuid,amsterdam-zuid,52.338889,4.872356,Noord-Holland,Amsterdam,intercitystation,1
ANA,8400065,Anna Paulowna,anna-paulowna,52.867222,4.811111,Noord-Holland,Hollands Kroon,stoptreinstation,1
APD,8400066,Apeldoorn,apeldoorn,52.209167,5.970278,Gelderland,Apeldoorn,knooppuntIntercitystation,1
APDM,8400233,Apeldoorn De Maten,apeldoorn-de-maten,52.205276,6.000556,Gelderland,Apeldoorn,stoptreinstation,1
